epoch,val_acc,train_acc,val_loss,train_loss
0,0.974,0.987051206592113,0.1668357493877411,0.20533186600726094
1,0.978,0.9846968805179517,0.16268193471431733,0.20712044843861185
2,0.976,0.9835197174808711,0.16242982125282288,0.2105927890086609
3,0.976,0.9782224838140082,0.1676871521472931,0.22026881208975502
4,0.976,0.9776339022954679,0.17424563175439833,0.21193634770841302
5,0.976,0.9788110653325485,0.16653624987602234,0.2232498540255236
6,0.974,0.9823425544437904,0.17282874357700348,0.20312736117187286
7,0.974,0.9788110653325485,0.16507675272226333,0.21972732388882021
8,0.98,0.9776339022954679,0.16103101575374604,0.2164567769310487
9,0.974,0.9817539729252501,0.16926190435886382,0.21146854756508524
