epoch,val_acc,train_acc,val_loss,train_loss
0,0.926,0.9393761035903472,0.7653150967205875,0.4340762852890805
1,0.902,0.9205414949970571,0.7472168909265637,0.6783320298399731
2,0.916,0.9105356091818716,0.6930298081116286,0.6960877369857832
3,0.912,0.9276044732195409,0.8549119654074093,0.5700550936888825
4,0.932,0.9205414949970571,0.692310396986315,0.5905678973188433
5,0.964,0.9482048263684519,0.2531480181004066,0.32961847717537207
6,0.9540000000000001,0.9487934078869923,0.3480992007014574,0.3558835977837875
7,0.9400000000000001,0.9417304296645085,0.4956209041731781,0.38748357395356664
8,0.962,0.9393761035903472,0.43021640208298,0.4279882666334674
9,0.93,0.9334902884049441,0.512554646004537,0.532979726198251
